question,answer
What is the 4C Research Lab?,"The 4C Research Lab (Cognition, Consciousness, and Critical Care Research Group) is a research laboratory focused on advancing pediatric critical care through innovative research in cognition, consciousness, and critical care. We are based at Western University and London Health Sciences Centre in London, Ontario, Canada."
What does 4C stand for?,"4C stands for Cognition, Consciousness, and Critical Care. Our research focuses on these four core areas: Cognition (brain function and cognitive processes), Consciousness (awareness and consciousness states), Critical Care (intensive care medicine), and Comfort (patient comfort and care)."
Who is the Principal Investigator?,"Dr. Saptharishi (Rishi) Ganesan is the Principal Investigator and Head of the 4C Research Group. He is an Assistant Professor in the Department of Paediatrics and Physiology & Pharmacology at the Schulich School of Medicine, Western University, and a Paediatric Intensivist at London Health Sciences Centre."
What are the main research areas?,"Our main research areas include: 1) Pediatric Neurocritical Care, 2) Brain connectivity and consciousness monitoring, 3) Delirium detection and prevention, 4) EEG-based neuromonitoring, 5) Cognitive outcomes in critically ill children, 6) Implementation science in critical care, and 7) Quality improvement in pediatric intensive care."
What current research projects are you working on?,"We have several active research projects: 1) NuANCEd - Nurse-led Advanced Neuromonitoring in Critically ill children with Encephalopathy, 2) TraNSIEnCe - Tracking Neurocognitive States In Encephalopathic Critically ill children, 3) PREDICT ABI - Predicting Acquired Brain Injury outcomes, 4) ABOVE - Advancing Brain Outcomes in paediatric critically ill patients sedated with Volatile Anesthetic Agents, and 5) NORSE - New Onset Refractory Status Epilepticus Registry."
How can I join the 4C Research Lab?,"To join our research team, send your CV to Dr. Rishi Ganesan at rishi.ganesan@lhsc.on.ca. We welcome students, researchers, and healthcare professionals interested in pediatric critical care research. Visit our 'Join 4C Lab' page for more information about opportunities."
What are the contact details?,"You can contact us at: Email: rishi.ganesan@lhsc.on.ca, Phone: (519) 685-8500 Ext. 74702, Address: 800 Commissioners Rd E., London, ON N6A 5W9. Our Research Coordinator is Ms. Maysaa Assaf (Maysaa.Assaf@lhsc.on.ca)."
Where is the lab located?,"The 4C Research Lab is located at Victoria Hospital & Children's Hospital, 800 Commissioners Rd E., London, ON N6A 5W9, Canada. We are part of London Health Sciences Centre and affiliated with Western University."
What technologies do you use in your research?,"We use various advanced technologies including: EEG (electroencephalography), fNIRS (functional near-infrared spectroscopy), processed EEG (qEEG), neuroimaging techniques, machine learning algorithms, and digital health platforms for monitoring and data collection."
What is the NuANCEd project?,"NuANCEd (Nurse-led Advanced Neuromonitoring in Critically ill children with Encephalopathy) is an integrated knowledge translation project that develops and implements a nurse-led processed EEG (qEEG) based seizure screening program to minimize delays in seizure diagnosis and treatment in critically ill children."
